image_file_name,lon,lat,alt
ARBCSRD00010006,-111.716543,32.91516,
ARBCSRD00010007,-111.716891,32.894945,
ARBCSRD00010008,-111.716569,32.872712,
ARBCSRD00010009,-111.716386,32.852701,
ARBCSRD00010015,-111.757795,32.917873,
ARBCSRD00010016,-111.758114,32.898835,
ARBCSRD00010017,-111.757095,32.87903,
ARBCSRD00010018,-111.758419,32.858726,
ARBCSRD00010019,-111.758127,32.839222,
ARBCSRD00010026,-111.797059,32.899094,
ARBCSRD00010027,-111.79672,32.87909,
ARBCSRD00010028,-111.79966,32.85737,
ARBCSRD00010029,-111.800705,32.836591,
ARBCSRD00010030,-111.801009,32.816908,
ARBCSRD00010031,-111.800012,32.787904,
ARBCSRD00010032,-111.80065,32.766529,
ARBCSRD00010033,-111.799268,32.74521,
ARBCSRD00010034,-111.799549,32.724799,
ARBCSRD00010045,-111.84161,32.915572,
ARBCSRD00010046,-111.840623,32.892995,
ARBCSRD00010047,-111.840642,32.874865,
ARBCSRD00010048,-111.840936,32.856131,
ARBCSRD00010049,-111.841287,32.835237,
ARBCSRD00010050,-111.839567,32.81465,
ARBCSRD00010051,-111.84127,32.787904,
ARBCSRD00010052,-111.841205,32.766948,
ARBCSRD00010053,-111.841586,32.74626,
ARBCSRD00010054,-111.842937,32.72434,
ARBCSRD00010066,-111.882443,32.898218,
ARBCSRD00010067,-111.883262,32.878935,
ARBCSRD00010068,-111.882884,32.858905,
ARBCSRD00010069,-111.882877,32.837943,
ARBCSRD00010070,-111.882866,32.815964,
ARBCSRD00010071,-111.883901,32.79001,
ARBCSRD00010072,-111.882851,32.767617,
ARBCSRD00010073,-111.88247,32.747251,
ARBCSRD00010074,-111.883142,32.726587,
